Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 10.97%, FPR: 0.11%, ACC: 85.22%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 4.06%, FPR: 0.01%, ACC: 84.16%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 1,  TPR: 25.02%, FPR: 0.99%, ACC: 86.80%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 2,  TPR: 15.00%, FPR: 0.27%, ACC: 85.75%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 8.95%, FPR: 0.08%, ACC: 84.91%
Metodo 1 -> Tamanho 3, Jan: 7x7, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 3.04%, FPR: 0.01%, ACC: 84.00%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 1,  TPR: 53.92%, FPR: 4.27%, ACC: 88.84%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 2,  TPR: 43.14%, FPR: 1.75%, ACC: 89.16%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 35.45%, FPR: 0.85%, ACC: 88.64%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 23.19%, FPR: 0.23%, ACC: 87.14%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 1,  TPR: 32.79%, FPR: 1.28%, ACC: 87.84%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 2,  TPR: 21.59%, FPR: 0.39%, ACC: 86.74%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 13.76%, FPR: 0.12%, ACC: 85.67%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 5.17%, FPR: 0.01%, ACC: 84.34%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 1,  TPR: 19.12%, FPR: 0.54%, ACC: 86.20%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 2,  TPR: 9.72%, FPR: 0.12%, ACC: 85.01%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 4.98%, FPR: 0.03%, ACC: 84.30%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 1.07%, FPR: 0.00%, ACC: 83.68%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 1,  TPR: 13.22%, FPR: 0.37%, ACC: 85.37%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 2,  TPR: 6.03%, FPR: 0.07%, ACC: 84.44%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 2.81%, FPR: 0.02%, ACC: 83.95%
Metodo 1 -> Tamanho 3, Jan: 9x9, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 0.40%, FPR: 0.00%, ACC: 83.57%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 1,  TPR: 56.68%, FPR: 5.72%, ACC: 88.08%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 2,  TPR: 45.04%, FPR: 1.97%, ACC: 89.29%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 3,  TPR: 35.71%, FPR: 0.91%, ACC: 88.64%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 5,  TPR: 20.23%, FPR: 0.22%, ACC: 86.66%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 1,  TPR: 54.71%, FPR: 4.98%, ACC: 88.37%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 2,  TPR: 43.16%, FPR: 1.81%, ACC: 89.11%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 3,  TPR: 34.33%, FPR: 0.87%, ACC: 88.44%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 5,  TPR: 18.27%, FPR: 0.20%, ACC: 86.35%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 1,  TPR: 54.46%, FPR: 4.90%, ACC: 88.39%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 2,  TPR: 42.86%, FPR: 1.79%, ACC: 89.08%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 3,  TPR: 34.05%, FPR: 0.86%, ACC: 88.40%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 5,  TPR: 17.91%, FPR: 0.19%, ACC: 86.29%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 1,  TPR: 53.92%, FPR: 4.73%, ACC: 88.45%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 2,  TPR: 42.42%, FPR: 1.73%, ACC: 89.05%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 3,  TPR: 33.58%, FPR: 0.82%, ACC: 88.35%
Metodo 1 -> Tamanho 5, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 5,  TPR: 17.71%, FPR: 0.18%, ACC: 86.27%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 1,  TPR: 51.06%, FPR: 3.63%, ACC: 88.89%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 2,  TPR: 39.33%, FPR: 1.39%, ACC: 88.83%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 3,  TPR: 30.44%, FPR: 0.65%, ACC: 87.98%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 5,  TPR: 14.76%, FPR: 0.13%, ACC: 85.82%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 1, TS: 1,  TPR: 40.36%, FPR: 2.12%, ACC: 88.39%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 1, TS: 2,  TPR: 27.57%, FPR: 0.79%, ACC: 87.39%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 1, TS: 3,  TPR: 17.52%, FPR: 0.28%, ACC: 86.15%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 2x2, BH: 1, TS: 5,  TPR: 5.59%, FPR: 0.04%, ACC: 84.39%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 1, TS: 1,  TPR: 37.71%, FPR: 1.92%, ACC: 88.12%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 1, TS: 2,  TPR: 24.43%, FPR: 0.66%, ACC: 86.98%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 1, TS: 3,  TPR: 14.53%, FPR: 0.22%, ACC: 85.72%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 3x3, BH: 1, TS: 5,  TPR: 4.30%, FPR: 0.03%, ACC: 84.19%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 1, TS: 1,  TPR: 36.73%, FPR: 1.84%, ACC: 88.02%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 1, TS: 2,  TPR: 22.93%, FPR: 0.60%, ACC: 86.78%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 1, TS: 3,  TPR: 13.69%, FPR: 0.20%, ACC: 85.59%
Metodo 1 -> Tamanho 5, Jan: 5x5, Val(x,y): 4x4, BH: 1, TS: 5,  TPR: 3.73%, FPR: 0.02%, ACC: 84.10%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 1, TS: 1,  TPR: 50.24%, FPR: 3.40%, ACC: 88.95%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 1, TS: 2,  TPR: 38.49%, FPR: 1.29%, ACC: 88.77%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 1, TS: 3,  TPR: 28.90%, FPR: 0.59%, ACC: 87.77%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 1x1, BH: 1, TS: 5,  TPR: 14.16%, FPR: 0.12%, ACC: 85.74%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 1, TS: 1,  TPR: 30.64%, FPR: 1.20%, ACC: 87.55%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 1, TS: 2,  TPR: 17.69%, FPR: 0.35%, ACC: 86.13%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 1, TS: 3,  TPR: 9.21%, FPR: 0.09%, ACC: 84.94%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 2x2, BH: 1, TS: 5,  TPR: 1.57%, FPR: 0.01%, ACC: 83.75%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 1,  TPR: 22.59%, FPR: 0.75%, ACC: 86.60%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 2,  TPR: 10.99%, FPR: 0.17%, ACC: 85.18%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 3,  TPR: 4.52%, FPR: 0.04%, ACC: 84.22%
Metodo 1 -> Tamanho 5, Jan: 7x7, Val(x,y): 3x3, BH: 1, TS: 5,  TPR: 0.31%, FPR: 0.00%, ACC: 83.55%
